Country,Year,Share of GDP,Share of Gov Spending,Per Capita,Current USD Amount ($million),Sunni,Shi'ite,Jewish
Lebanon,2008,0.040,0.117,284.6,1169,1,0,0
Oman,2008,0.076,0.258,1740.6,4617,1,0,0
Qatar,2008,0.020,0.087,1668.5,2318,1,0,0
Saudi Arabia,2008,0.074,0.276,1429.3,38223,1,0,0
Syria,2008,0.036,0.155,86.2,1732,1,0,0
Turkey,2008,0.023,0.068,243.5,17127,1,0,0
UAE,2008,0.037,0.167,1677.0,11572,1,0,0
Yemen,2008,0.039,0.108,53.6,1196,1,0,0
Bahrain,2009,0.036,0.141,692.0,828,0,1,0
Egypt,2009,0.021,0.062,49.9,4017,1,0,0
Iran,2009,0.035,0.153,171.5,12585,0,1,0
Iraq,2009,0.029,0.049,108.0,3237,1,0,0
Israel,2009,0.067,0.161,1924.8,13979,0,0,1
Jordan,2009,0.066,0.186,250.3,1568,1,0,0
Kuwait,2009,0.040,0.094,1460.8,4209,1,0,0
Lebanon,2009,0.040,0.126,341.1,1426,1,0,0
Oman,2009,0.093,0.243,1625.6,4490,1,0,0
Qatar,2009,0.020,0.061,1224.5,1948,1,0,0
Saudi Arabia,2009,0.096,0.259,1505.6,41267,1,0,0
Syria,2009,0.040,0.151,106.1,2182,1,0,0
Turkey,2009,0.027,0.069,229.5,16352,1,0,0
UAE,2009,0.055,0.156,1795.7,13836,1,0,0
Yemen,2009,0.050,0.161,61.9,1421,1,0,0
Bahrain,2010,0.033,0.115,668.2,843,1,0,0
Egypt,2010,0.021,0.061,53.7,4407,1,0,0
Iran,2010,0.032,0.152,182.6,13561,0,1,0
Iraq,2010,0.028,0.055,121.6,3753,1,0,0
Israel,2010,0.062,0.152,1962.1,14559,0,0,1
Jordan,2010,0.057,0.194,239.0,1558,1,0,0
Kuwait,2010,0.038,0.084,1417.0,4335,1,0,0
Lebanon,2010,0.041,0.141,365.5,1585,1,0,0
Oman,2010,0.083,0.246,1662.9,4895,1,0,0
Qatar,2010,0.015,0.049,1063.0,1877,1,0,0
Saudi Arabia,2010,0.086,0.253,1610.7,45245,1,0,0
Syria,2010,0.041,0.136,113.2,2346,1,0,0
Turkey,2010,0.025,0.067,248.1,17939,1,0,0
UAE,2010,0.061,0.187,2101.5,17505,1,0,0
Yemen,2010,0.047,0.155,61.4,1448,1,0,0
Bahrain,2011,0.036,0.129,791.3,1034,0,1,0
Egypt,2011,0.019,0.061,53.3,4464,1,0,0
Iran,2011,0.024,0.130,189.9,14278,0,1,0
Iraq,2011,0.024,0.053,134.3,4279,1,0,0
Israel,2011,0.059,0.146,2032.5,15373,0,0,1
Jordan,2011,0.055,0.166,235.9,1595,1,0,0
Kuwait,2011,0.035,0.090,1665.1,5394,1,0,0
Lebanon,2011,0.041,0.141,354.2,1627,1,0,0
Oman,2011,0.098,0.249,2077.1,6668,1,0,0
Qatar,2011,,,,,1,0,0
Saudi Arabia,2011,0.072,0.217,1685.8,48531,1,0,0
Syria,2011,,,121.7,2495,1,0,0
Turkey,2011,0.022,0.063,235.4,17305,1,0,0
UAE,2011,0.055,0.175,2196.0,19182,1,0,0
Yemen,2011,0.052,0.165,66.5,1612,1,0,0
Bahrain,2012,0.039,0.130,886.5,1182,0,1,0
Egypt,2012,0.018,0.054,53.2,4558,1,0,0
Iran,2012,0.028,0.193,216.6,16494,0,1,0
Iraq,2012,0.022,0.044,125.6,4141,1,0,0
Israel,2012,0.057,0.139,1915.9,14742,0,0,1
Jordan,2012,0.048,0.149,210.6,1473,1,0,0
Kuwait,2012,0.034,0.088,1737.5,5942,1,0,0
Lebanon,2012,0.040,0.132,356.8,1757,1,0,0
Oman,2012,0.162,0.365,3479.1,12334,1,0,0
Qatar,2012,,,,,1,0,0
Saudi Arabia,2012,0.077,0.231,1915.4,56498,1,0,0
Syria,2012,,,,,1,0,0
Turkey,2012,0.023,0.062,239.9,17958,1,0,0
UAE,2012,0.051,0.174,2125.0,19024,1,0,0
Yemen,2012,0.050,0.126,65.1,1619,1,0,0
Bahrain,2013,0.041,0.138,998.7,1348,0,1,0
Egypt,2013,0.016,0.046,49.8,4360,1,0,0
Iran,2013,0.023,0.156,155.5,11997,0,1,0
Iraq,2013,0.039,0.069,228.1,7780,1,0,0
Israel,2013,0.058,0.141,2158.4,16874,0,0,1
Jordan,2013,0.043,0.121,200.3,1445,1,0,0
Kuwait,2013,0.033,0.086,1585.6,5698,1,0,0
Lebanon,2013,0.041,0.143,366.1,1936,1,0,0
Oman,2013,0.150,0.331,2991.7,11688,1,0,0
Qatar,2013,,,,,1,0,0
Saudi Arabia,2013,0.090,0.253,2219.1,67020,1,0,0
Syria,2013,,,,,1,0,0
Turkey,2013,0.023,0.059,244.8,18663,1,0,0
UAE,2013,0.061,0.199,2606.3,23561,1,0,0
Yemen,2013,0.047,0.132,64.6,1649,1,0,0
Bahrain,2014,0.044,0.142,1083.2,1475,0,1,0
Egypt,2014,0.017,0.047,56.8,5085,1,0,0
Iran,2014,0.023,0.148,126.7,9901,0,1,0
Iraq,2014,0.036,0.068,196.2,6921,1,0,0
Israel,2014,0.059,0.146,2280.5,18106,0,0,1
Jordan,2014,0.043,0.114,208.9,1549,1,0,0
Kuwait,2014,0.036,0.081,1554.0,5832,1,0,0
Lebanon,2014,0.046,0.164,404.5,2270,1,0,0
Oman,2014,0.134,0.285,2585.3,10951,1,0,0
Qatar,2014,,,,,1,0,0
Saudi Arabia,2014,0.107,0.266,2614.8,80762,1,0,0
Syria,2014,,,,,1,0,0
Turkey,2014,0.022,0.060,229.2,17772,1,0,0
UAE,2014,0.057,0.175,2504.4,22755,1,0,0
Yemen,2014,0.046,0.143,65.5,1715,1,0,0
Bahrain,2015,0.047,0.133,1047.0,1442,0,1,0
Egypt,2015,0.017,0.052,59.8,5475,1,0,0
Iran,2015,0.026,0.154,133.8,10589,0,1,0
Iraq,2015,0.065,0.125,263.7,9604,1,0,0
Israel,2015,0.056,0.140,2078.8,16764,0,0,1
Jordan,2015,0.043,0.148,212.8,1616,1,0,0
Kuwait,2015,0.048,0.086,1413.9,5503,1,0,0
Lebanon,2015,0.044,0.168,382.8,2239,1,0,0
Oman,2015,0.163,0.285,2236.9,10045,1,0,0
Qatar,2015,,,,,1,0,0
Saudi Arabia,2015,0.135,0.326,2764.3,87186,1,0,0
Syria,2015,,,,,1,0,0
Turkey,2015,0.022,0.058,201.9,15881,1,0,0
UAE,2015,,,,,1,0,0
Yemen,2015,,,,,1,0,0
Bahrain,2016,0.048,0.124,1023.2,1430,0,1,0
Egypt,2016,0.016,0.050,48.3,4513,1,0,0
Iran,2016,0.030,0.177,158.4,12685,0,1,0
Iraq,2016,0.048,0.082,165.9,6233,1,0,0
Israel,2016,0.058,0.141,2193.8,17977,0,0,1
Jordan,2016,0.045,0.152,228.1,1770,1,0,0
Kuwait,2016,0.065,0.105,1636.6,6561,1,0,0
Lebanon,2016,,,,,1,0,0
Oman,2016,0.167,0.296,1953.5,9103,1,0,0
Qatar,2016,,,,,1,0,0
Saudi Arabia,2016,0.104,0.276,1978.2,63673,1,0,0
Syria,2016,,,,,1,0,0
Turkey,2016,0.020,0.053,185.9,14803,1,0,0
UAE,2016,,,,,1,0,0
Yemen,2016,,,,,1,0,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
